edad,grado,tipo_actividad,dificultad,tiempo_seg,intentos,pistas,correcto,nota,secuencia_actividades,evolucion_desempeno,nivel_concentracion,comparacion_historial,nivel_comprension
11,5,relacionar,4,94,1,0,0,9,3,-0.15,0.51,0.18,0.92
12,6,relacionar,5,154,4,0,1,6,4,0.38,0.84,-0.08,0.84
9,6,crucigrama,4,272,3,3,1,9,2,0.44,0.77,0.19,0.88
11,4,relacionar,5,204,2,2,1,5,5,0.14,0.61,0.26,1.0
12,6,sopa_letras,4,273,5,2,1,9,4,0.28,0.71,0.08,0.68
10,6,crucigrama,2,87,3,3,0,5,5,0.37,0.76,-0.19,0.58
12,4,sopa_letras,2,272,4,3,1,6,1,0.47,0.97,0.15,0.46
9,6,relacionar,3,85,3,0,0,6,4,0.28,0.96,-0.17,0.96
12,6,crucigrama,1,277,1,0,1,7,3,-0.12,0.6,0.11,0.9
9,5,sopa_letras,3,237,4,2,0,6,3,0.08,0.64,0.09,0.95
9,5,sopa_letras,1,104,4,1,1,5,1,-0.14,0.92,0.27,0.75
10,4,memoria,2,141,5,2,1,10,3,0.4,0.82,-0.18,0.75
9,4,memoria,3,111,2,3,0,10,4,0.02,0.9,-0.07,0.42
12,6,sopa_letras,3,151,1,1,0,5,5,-0.09,0.96,0.2,0.8
9,5,relacionar,1,136,5,0,0,9,4,-0.09,0.86,0.21,0.83
12,4,memoria,4,129,4,1,0,7,3,0.2,0.61,0.26,0.89
11,6,memoria,1,183,3,0,0,10,2,0.28,0.92,0.22,0.8
11,6,crucigrama,2,165,4,0,1,9,2,0.05,0.87,0.17,0.41
9,6,relacionar,5,113,5,1,0,7,1,0.0,1.0,0.18,0.62
12,4,relacionar,5,144,4,2,1,7,1,0.08,0.78,-0.17,0.88
11,5,relacionar,3,95,5,3,1,8,3,0.02,0.83,0.16,0.6
11,4,memoria,2,240,3,1,1,8,5,0.05,0.57,0.14,0.51
10,5,crucigrama,1,131,1,3,0,9,5,-0.07,1.0,0.3,0.51
11,5,crucigrama,3,276,4,0,0,7,1,0.01,0.77,0.21,0.85
12,6,crucigrama,3,260,1,2,1,6,4,0.33,0.83,-0.2,0.57
12,6,memoria,4,146,1,2,1,7,2,-0.04,0.79,0.22,1.0
11,6,sopa_letras,1,179,3,1,0,9,5,0.41,0.76,0.12,0.53
10,5,relacionar,5,269,1,0,0,5,2,-0.12,0.68,0.12,0.9
10,4,crucigrama,4,179,5,3,1,9,5,-0.1,0.87,0.04,1.0
9,5,relacionar,3,140,3,1,0,8,1,-0.07,0.61,0.26,0.42
11,5,memoria,1,260,3,3,0,9,2,0.26,0.99,0.1,0.96
12,6,relacionar,2,102,1,2,0,10,2,0.34,0.65,0.06,0.66
9,5,memoria,3,185,1,3,1,7,5,0.26,0.93,-0.01,0.82
12,6,crucigrama,4,225,5,0,1,8,3,0.38,0.86,-0.19,0.99
10,4,crucigrama,4,298,5,2,1,9,1,0.26,0.77,-0.08,0.55
9,4,memoria,1,201,3,0,0,10,4,0.04,0.7,0.07,0.42
