edad,grado,tipo_actividad,dificultad,tiempo_seg,intentos,pistas,correcto,nota,secuencia_actividades,evolucion_desempeno,nivel_concentracion,comparacion_historial,nivel_comprension
12,6,crucigrama,4,256,3,1,1,7,2,0.4,0.51,-0.2,0.623900761281962
11,5,crucigrama,2,113,3,3,0,9,3,-0.01,0.75,-0.0,0.38401763694595165
12,6,sopa_letras,1,248,3,2,1,8,3,0.47,0.97,-0.19,0.633322366816674
12,6,crucigrama,4,252,4,0,1,6,1,0.43,0.83,-0.08,0.6564478156763663
9,4,memoria,3,244,5,0,0,7,3,0.28,0.68,0.29,0.43287058707946124
11,6,memoria,3,247,2,2,0,5,2,0.43,0.7,-0.16,0.23443937876117338
9,4,memoria,5,198,1,2,1,8,5,0.49,0.94,0.19,0.7202925725102859
9,4,relacionar,2,81,3,3,0,10,3,0.29,0.62,0.2,0.3472964804692357
12,6,memoria,2,250,2,2,1,5,3,0.3,0.67,-0.2,0.5156316713034217
9,6,crucigrama,5,276,1,1,0,7,3,-0.13,0.76,-0.08,0.37569873314949087
12,6,memoria,5,84,5,2,0,6,3,0.49,0.6,-0.08,0.41689415269635666
10,4,crucigrama,1,126,1,2,0,5,1,-0.17,0.51,0.1,0.18829746521384982
9,6,relacionar,3,106,5,1,1,10,1,0.05,0.84,0.01,0.6483316122209041
10,6,crucigrama,4,278,3,3,0,8,5,0.22,0.85,-0.14,0.35296505744665585
11,6,relacionar,1,165,1,1,0,10,5,0.08,0.58,-0.16,0.33577015469033883
12,6,crucigrama,2,216,4,0,0,8,4,0.25,0.93,-0.01,0.4942112308535632
9,4,sopa_letras,3,162,3,2,1,6,1,0.26,0.74,0.04,0.5656730789984499
9,4,memoria,4,153,1,2,0,8,2,0.19,0.68,-0.02,0.3603446963199254
11,6,memoria,3,273,3,3,1,9,4,0.42,0.87,-0.12,0.66411810203215
9,6,relacionar,2,216,2,0,0,5,2,0.3,0.64,0.1,0.3136004740398312
9,5,crucigrama,5,229,1,0,0,9,2,-0.16,0.57,0.2,0.308966382893789
12,4,relacionar,4,119,5,1,1,7,2,0.48,0.74,0.12,0.6374550824593717
11,4,sopa_letras,3,159,4,1,0,8,1,0.42,0.82,0.14,0.4015084016832179
12,5,sopa_letras,1,111,4,3,0,7,3,0.31,0.98,0.02,0.34933450825779777
11,5,relacionar,1,89,2,1,0,8,2,-0.11,0.72,-0.05,0.2609818886635008
9,5,sopa_letras,5,144,1,0,1,9,3,0.14,0.69,-0.14,0.7848545556702391
11,4,memoria,1,214,2,3,1,10,2,0.14,0.9,-0.05,0.5730343999568215
11,5,relacionar,3,284,1,0,1,9,5,0.49,0.89,-0.05,0.6885956174326129
10,5,memoria,3,229,5,3,1,6,2,0.15,0.63,-0.18,0.43527155437060727
10,6,sopa_letras,5,232,3,3,0,8,1,0.26,0.59,-0.11,0.385375433304526
10,4,crucigrama,5,104,3,0,1,6,3,0.23,0.77,-0.04,0.5363164290192567
10,4,memoria,1,195,4,1,0,8,2,-0.05,0.93,0.07,0.328328996240075
9,5,relacionar,4,127,1,0,1,5,1,0.23,0.72,-0.11,0.5660552813761822
10,4,crucigrama,2,168,5,1,1,5,3,0.32,0.88,0.03,0.6169264757688065
10,6,sopa_letras,3,218,1,3,0,8,3,-0.08,0.85,0.02,0.33698040720866324
11,5,memoria,5,166,3,3,1,6,1,-0.1,0.51,-0.01,0.5258669156891794
