edad,grado,tipo_actividad,dificultad,tiempo_seg,intentos,pistas,correcto,nota,secuencia_actividades,evolucion_desempeno,nivel_concentracion,comparacion_historial,nivel_comprension
9,6,relacionar,5,100,2,2,1,7,5,0.37,0.78,-0.06,0.7153900382722461
10,6,sopa_letras,4,214,3,0,1,9,2,0.06,0.66,-0.18,0.6097383841210022
12,5,relacionar,5,283,3,1,0,8,2,0.32,0.92,0.13,0.4952462268261905
9,5,crucigrama,1,206,5,2,0,5,3,0.42,0.72,0.16,0.2856002594941587
11,4,memoria,5,81,3,1,1,8,4,0.07,0.62,-0.12,0.5043831808184042
10,6,crucigrama,3,110,5,3,0,9,4,-0.1,0.58,-0.02,0.24612524869659264
9,6,memoria,3,91,5,3,0,6,1,-0.12,0.91,-0.09,0.363909973828268
9,6,sopa_letras,2,177,1,3,1,7,5,0.23,0.83,0.29,0.5985277005062876
10,5,memoria,5,128,1,3,1,5,5,0.01,0.64,-0.13,0.5214935122631312
10,5,memoria,1,285,1,3,1,5,2,0.37,0.57,-0.14,0.5060263630468602
12,6,memoria,2,172,3,3,1,10,5,0.02,0.98,0.18,0.7475098140374876
10,4,memoria,3,195,2,3,1,8,4,-0.02,0.51,0.04,0.48677891657397265
11,6,crucigrama,3,162,1,1,0,8,4,0.13,0.55,0.09,0.2613298684864117
11,5,relacionar,2,144,2,1,0,5,1,0.48,0.93,0.11,0.3986751880657401
12,6,memoria,1,298,2,0,0,8,2,0.1,0.93,-0.2,0.42661399236882785
10,4,memoria,5,212,3,1,0,9,1,0.12,0.72,0.11,0.4276884786096889
9,4,crucigrama,4,88,5,2,0,9,2,-0.18,0.7,0.08,0.4100839783884794
9,6,memoria,3,181,5,2,0,9,3,-0.07,0.58,0.19,0.30934936296842025
11,6,sopa_letras,1,124,2,1,0,5,2,-0.18,0.71,-0.02,0.2667009949642456
11,5,memoria,3,252,4,3,0,5,2,0.03,0.83,-0.16,0.3226321709837415
12,5,crucigrama,2,289,3,0,1,9,2,0.09,0.98,-0.08,0.629916403746365
9,4,relacionar,5,161,3,0,0,5,1,0.02,0.81,0.18,0.28408887717954395
12,5,crucigrama,2,295,1,0,1,10,5,0.37,0.62,0.28,0.6079857554946922
9,4,relacionar,5,208,1,3,1,9,1,0.46,0.72,0.2,0.707382868552395
12,5,sopa_letras,1,228,5,2,0,9,4,0.01,0.55,0.02,0.2991862436376685
10,5,sopa_letras,3,239,2,1,0,7,5,0.32,0.51,-0.1,0.27487574512998586
12,4,relacionar,2,202,4,1,1,7,3,-0.1,0.8,0.01,0.4821810567896689
10,6,crucigrama,5,192,1,3,1,8,1,0.13,0.93,0.18,0.6713858390584235
10,5,crucigrama,2,93,3,3,0,7,1,-0.0,0.59,0.2,0.29154636899252984
11,6,memoria,4,164,5,0,1,9,2,-0.13,0.98,0.25,0.6789005887661452
11,6,crucigrama,4,174,4,1,1,6,3,-0.08,0.64,0.24,0.5243127403334058
9,6,memoria,1,113,4,0,0,6,5,0.41,0.5,0.16,0.2651432678435249
12,5,memoria,2,98,3,3,0,6,1,0.2,0.99,0.09,0.27272453883649495
11,6,sopa_letras,5,186,1,1,0,8,4,0.12,0.91,0.1,0.40290106958392685
10,5,crucigrama,2,116,1,1,1,5,3,-0.08,0.6,0.17,0.3814803024207272
12,6,relacionar,5,292,5,2,1,7,5,-0.16,0.78,-0.2,0.5896097662283788
11,4,crucigrama,1,167,2,0,1,9,5,-0.04,0.53,0.11,0.5470527173279266
11,4,crucigrama,3,217,4,1,1,8,4,0.04,0.82,-0.16,0.5809047612536969
12,5,sopa_letras,5,131,5,2,1,6,5,-0.12,0.81,-0.15,0.5296337206357203
10,6,memoria,4,229,4,0,1,10,3,0.35,0.94,0.22,0.7004104739238777
10,5,sopa_letras,3,167,5,0,0,10,1,0.27,0.97,0.28,0.4123066688724756
9,6,sopa_letras,5,156,3,1,0,7,5,0.37,0.64,0.28,0.3789335411739014
10,5,relacionar,1,223,5,1,1,8,3,-0.03,0.52,0.04,0.49290374977534773
11,5,crucigrama,5,163,4,3,0,8,3,-0.1,0.69,0.28,0.38069861933561533
10,4,sopa_letras,2,258,3,0,0,6,3,0.1,0.74,0.28,0.24178967851500277
10,6,sopa_letras,2,203,4,3,1,10,4,0.42,0.98,0.17,0.6789992334538628
9,4,relacionar,2,173,2,0,1,9,1,0.28,0.95,-0.05,0.6612973269316643
10,5,memoria,5,130,5,1,1,5,4,0.43,0.77,0.19,0.6200394840264283
10,6,relacionar,4,102,2,3,0,9,5,0.38,0.86,0.07,0.4603839483364188
12,4,memoria,3,192,5,2,0,6,5,0.06,0.71,-0.06,0.25762089729731
12,4,memoria,5,286,1,3,1,6,4,0.11,0.85,0.25,0.6772193345236096
11,6,relacionar,5,163,4,2,0,7,3,0.15,0.97,0.04,0.3975822025974879
10,6,sopa_letras,3,256,4,0,0,7,3,0.28,0.69,0.26,0.3036466284574163
9,6,relacionar,3,95,3,0,0,9,4,-0.18,0.96,0.27,0.38453008244069997
11,4,relacionar,4,171,1,0,0,9,2,-0.11,0.86,0.15,0.322700460404035
9,5,memoria,1,221,2,1,0,5,2,-0.08,0.81,0.15,0.27571008422384646
11,4,relacionar,1,191,1,3,0,8,1,0.33,0.61,0.17,0.3260325972931023
10,6,memoria,1,288,3,2,0,10,1,-0.1,0.97,-0.08,0.36576288736280377
12,4,crucigrama,3,213,4,0,1,9,4,-0.16,0.75,0.04,0.6228009728700697
9,4,crucigrama,3,220,2,2,0,10,3,-0.02,0.62,-0.02,0.36134033191565107
10,4,crucigrama,3,92,4,1,1,10,1,0.01,0.74,0.25,0.6303168003208943
11,5,sopa_letras,2,203,2,1,1,6,5,0.49,0.54,-0.03,0.41189998667431527
11,5,relacionar,5,255,1,3,0,5,3,0.08,0.63,0.09,0.33385048322626426
10,6,memoria,3,236,3,0,0,6,4,0.41,0.51,-0.09,0.26185322987584064
11,6,relacionar,1,297,1,2,0,10,1,-0.17,0.81,0.21,0.2937912002545472
12,6,memoria,4,192,1,0,1,8,5,-0.0,0.74,-0.0,0.5365334364392486
11,4,sopa_letras,1,177,5,1,0,5,5,-0.12,0.89,0.09,0.19389071911220906
9,4,relacionar,3,194,3,0,1,6,1,0.13,0.8,0.19,0.6041291208763206
11,4,sopa_letras,5,245,3,0,1,8,4,0.1,0.66,0.27,0.5793015333014025
11,4,memoria,2,106,3,3,0,8,2,0.15,0.78,0.19,0.35841963212558076
11,5,relacionar,2,260,1,3,0,9,5,0.46,0.94,-0.18,0.44825014798848745
9,5,crucigrama,3,93,1,0,0,6,4,-0.13,0.57,0.16,0.25103395477769114
9,4,sopa_letras,2,213,1,2,0,10,5,0.3,0.53,-0.09,0.3087515759592671
11,6,sopa_letras,3,212,1,0,1,6,5,-0.06,0.77,-0.15,0.5612905030888206
9,6,memoria,1,155,1,3,0,9,1,-0.05,0.88,0.04,0.3319484202322697
12,4,crucigrama,5,156,2,0,1,10,1,0.31,0.56,0.21,0.7353104885842691
12,4,relacionar,2,208,3,3,0,8,5,0.42,0.94,-0.09,0.3814763799260546
10,4,relacionar,2,296,1,1,0,7,3,0.16,0.7,-0.17,0.2967138232940962
11,4,relacionar,4,209,2,0,0,6,4,0.31,0.69,-0.02,0.3326036190406239
12,5,crucigrama,3,190,4,1,1,9,2,0.17,0.95,0.27,0.6787950226636357
9,4,sopa_letras,3,178,1,3,0,7,2,0.1,0.52,-0.04,0.3000500354517943
10,5,sopa_letras,2,151,3,0,0,5,3,0.39,0.94,0.21,0.4376806702797977
11,4,sopa_letras,4,189,4,0,1,10,3,0.36,0.9,0.05,0.691197624158501
10,6,memoria,5,175,1,2,1,6,1,0.25,0.63,0.29,0.6916886746482926
12,4,crucigrama,5,140,5,0,0,10,3,-0.13,0.83,0.06,0.3985892601141173
11,5,crucigrama,1,183,3,1,1,5,1,0.23,0.59,-0.08,0.49431553982286086
10,5,relacionar,1,251,4,1,0,8,4,0.4,0.71,0.05,0.3363587405518348
10,4,relacionar,5,103,4,0,1,8,5,0.41,0.54,0.04,0.6186347072543672
10,5,sopa_letras,5,297,4,1,0,7,1,0.14,0.69,-0.12,0.3610353821839383
9,5,memoria,1,193,2,2,1,7,4,0.31,0.72,-0.14,0.5317356844343643
11,6,sopa_letras,4,202,4,3,0,10,3,0.15,0.6,0.18,0.3286854968857709
9,6,sopa_letras,5,170,1,0,1,5,3,0.28,0.75,0.09,0.6476878226849698
9,5,memoria,3,80,4,1,0,5,4,0.03,0.59,0.16,0.39654996271144677
10,5,crucigrama,3,108,3,3,1,8,3,-0.05,0.56,0.24,0.5800676762159505
11,5,crucigrama,2,91,2,1,0,9,3,0.44,0.52,0.13,0.3792653661800361
12,6,sopa_letras,2,205,4,2,1,9,4,0.44,0.64,-0.06,0.5778095819835549
12,5,relacionar,3,258,2,3,0,10,1,0.16,0.68,-0.17,0.31150547713460713
12,5,memoria,4,106,2,0,1,10,5,0.01,0.71,0.14,0.5893431192538268
10,6,memoria,5,263,4,3,1,7,3,-0.1,0.54,0.3,0.6082341899414752
12,4,sopa_letras,5,145,2,1,0,7,4,-0.04,0.86,-0.18,0.36457437768278855
9,6,crucigrama,3,257,3,3,0,10,1,0.46,0.6,0.25,0.4546006795202789
10,6,memoria,1,220,2,3,0,8,2,0.3,0.56,-0.16,0.3611202814417411
9,5,memoria,2,191,3,2,1,10,2,-0.01,0.84,0.08,0.6270411982995366
9,4,sopa_letras,1,218,1,0,0,10,3,0.1,0.56,0.07,0.32865876697195373
12,5,crucigrama,2,256,1,0,1,6,1,0.16,0.93,0.11,0.6302122884384779
9,4,relacionar,1,250,4,2,1,8,1,0.28,0.7,-0.02,0.615911640899978
9,4,memoria,1,146,4,3,0,10,3,0.25,0.5,0.2,0.3359560300728502
11,6,sopa_letras,4,262,4,3,1,6,2,0.17,0.79,-0.12,0.6162665382393452
11,5,relacionar,3,238,3,1,1,6,4,-0.14,0.83,-0.18,0.46135137360654005
12,5,crucigrama,3,104,3,2,1,8,4,0.04,0.77,-0.16,0.4993118229167979
10,6,sopa_letras,5,257,5,3,1,6,2,0.3,0.65,-0.17,0.6469555031083851
12,4,relacionar,3,87,1,1,0,9,5,0.38,0.79,0.12,0.4725044320055588
10,5,memoria,2,277,2,2,1,10,3,-0.03,0.71,0.02,0.6345249441704306
9,4,memoria,5,138,2,2,1,8,5,-0.11,0.77,-0.18,0.6649611708717358
9,5,relacionar,3,202,1,1,1,6,2,0.21,0.76,0.29,0.581880445085958
9,6,relacionar,1,158,2,3,1,10,3,-0.11,0.55,-0.14,0.4790554481518743
9,5,crucigrama,1,175,4,3,1,5,3,-0.03,0.77,-0.05,0.5162740759220269
11,4,sopa_letras,3,211,1,2,0,8,5,0.18,0.62,0.16,0.3020926022785822
11,5,sopa_letras,5,83,4,2,1,9,1,0.5,0.59,0.05,0.5960752654492727
11,6,relacionar,1,262,4,3,0,7,4,0.04,0.88,-0.03,0.25907615929967
12,4,relacionar,5,252,2,2,1,10,1,0.25,0.88,-0.08,0.832577932405046
9,6,relacionar,2,228,1,1,1,10,3,0.14,0.6,0.14,0.6110168268903338
10,4,crucigrama,3,201,5,2,1,7,1,-0.15,0.83,-0.14,0.6154833227384029
9,4,relacionar,1,166,4,1,1,6,4,0.22,0.86,-0.08,0.6219291507559535
9,5,sopa_letras,4,288,1,2,0,8,3,0.38,0.79,0.21,0.4206889531932521
11,4,relacionar,3,207,4,1,0,7,4,0.41,0.58,-0.02,0.36648676504644995
10,6,relacionar,3,291,1,1,1,10,4,0.07,0.9,0.16,0.7517314436057956
9,6,sopa_letras,4,192,3,2,0,8,3,0.36,0.94,-0.18,0.3919764248922917
10,4,crucigrama,1,186,3,1,0,6,4,0.34,0.99,-0.16,0.2649445557313075
10,5,relacionar,5,180,4,1,1,5,1,0.33,0.62,0.28,0.6293472345278497
9,6,memoria,2,154,4,2,1,5,2,0.23,0.99,0.17,0.6095391628073107
12,6,crucigrama,1,170,4,0,0,10,3,0.42,0.77,0.2,0.4220322716961399
11,5,memoria,2,194,5,0,0,9,4,0.46,0.79,0.29,0.3670596137443665
11,4,crucigrama,1,251,3,2,1,7,3,-0.17,0.92,0.12,0.5132777900778756
11,6,relacionar,5,130,3,1,0,9,3,-0.19,0.5,0.22,0.3363992459926287
12,4,sopa_letras,3,104,1,1,0,10,5,-0.06,0.69,0.1,0.35366386383488396
10,5,crucigrama,2,169,5,0,1,7,3,0.47,0.73,-0.1,0.5300082715703345
12,6,relacionar,5,285,2,3,1,9,4,0.36,0.66,0.05,0.6306482636803751
11,4,memoria,2,124,1,3,1,8,3,0.47,0.86,0.16,0.7224963542714782
9,6,sopa_letras,4,232,4,0,1,5,2,0.22,0.86,-0.08,0.6052617964786976
9,5,crucigrama,2,244,3,2,1,6,3,0.49,0.78,0.21,0.4794903594839385
10,4,sopa_letras,3,138,2,0,0,5,4,0.49,0.73,0.2,0.3308579960066127
12,6,relacionar,2,152,5,2,1,10,5,0.23,0.8,0.04,0.6485429991695243
12,4,memoria,5,154,1,0,1,5,1,0.1,0.72,-0.14,0.5580337630283179
11,5,memoria,4,249,5,2,1,5,1,0.29,0.95,0.04,0.5797052950201061
9,5,crucigrama,1,275,1,1,1,7,5,0.42,0.77,0.05,0.6021255222801246
12,4,relacionar,3,120,4,3,1,9,5,0.36,0.6,-0.12,0.6639041330092748
9,6,sopa_letras,4,211,5,2,1,10,2,0.35,0.53,0.21,0.6040526516250427
12,6,crucigrama,4,164,3,1,0,10,3,-0.03,0.94,-0.16,0.4614108785158403
12,4,relacionar,2,202,1,1,1,5,3,-0.04,0.57,0.27,0.459265560624746
12,4,relacionar,4,227,4,0,1,10,4,0.04,0.8,0.04,0.6457303526489859
11,4,sopa_letras,2,267,2,0,0,6,4,-0.01,0.64,-0.15,0.2872422246971055
12,4,sopa_letras,4,235,5,1,0,5,4,0.44,0.86,-0.04,0.3758535099215297
11,5,memoria,4,201,4,2,1,6,1,0.46,0.95,0.06,0.6641657773617361
9,4,crucigrama,5,295,4,0,1,9,3,0.42,0.59,-0.01,0.5640571781146624
9,5,sopa_letras,4,263,2,3,0,9,5,-0.05,0.75,-0.15,0.42939047007621667
11,6,sopa_letras,4,284,1,0,0,5,1,0.3,0.99,0.1,0.32847035328583996
12,4,relacionar,5,187,5,2,1,5,3,-0.03,0.67,0.17,0.5517275084274367
12,5,memoria,4,120,5,1,1,10,3,0.45,0.82,0.05,0.6707527133074511
10,5,relacionar,1,86,4,1,0,7,3,0.16,0.69,-0.01,0.21577866104123933
10,6,relacionar,1,236,3,2,1,9,3,0.25,0.84,0.15,0.6055275648909137
9,5,relacionar,2,205,5,3,0,8,5,0.0,0.91,-0.09,0.4223271247026067
12,6,crucigrama,2,214,4,2,0,9,1,-0.03,0.66,0.1,0.308614740951619
